application,placement,law,repetition,operation,status,attempts,successes,lower_exact,upper_exact,b0_exact,success_excluded,failure_excluded,incompatible_attempts,incompatible_fraction,fully_observed_attempts,fully_observed_mismatches,ambiguous_attempts,aggregate_excess_above_upper_count,aggregate_deficit_below_lower_count,aggregate_contains_b0,incompatible_despite_aggregate_containment,ablation_without_selection_incompatible_attempts
deathstarbench_social_network,split,N,7,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,7,read_user_timeline,audited,1200,1107,369/400,369/400,369/400,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,8,compose_post,audited,1200,1129,1129/1200,1129/1200,1129/1200,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,8,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,8,read_user_timeline,audited,1200,1083,361/400,361/400,361/400,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,9,compose_post,audited,1200,1106,553/600,553/600,553/600,0,0,0,0.0,1199,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,9,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,N,9,read_user_timeline,audited,1200,1077,359/400,359/400,359/400,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,0,compose_post,audited,1200,1108,23/25,23/25,277/300,4,0,4,0.0033333333333333335,1183,4,0,4,0,False,False,0
deathstarbench_social_network,split,NC,0,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,0,read_user_timeline,audited,1200,1036,1027/1200,1027/1200,259/300,9,0,9,0.0075,1181,9,0,9,0,False,False,0
deathstarbench_social_network,split,NC,1,compose_post,audited,1200,1057,37/48,1001/1200,1057/1200,56,0,56,0.04666666666666667,1045,56,76,56,0,False,False,1
deathstarbench_social_network,split,NC,1,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,1,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,split,NC,2,compose_post,audited,1200,1096,91/100,91/100,137/150,4,0,4,0.0033333333333333335,1173,4,0,4,0,False,False,3
deathstarbench_social_network,split,NC,2,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,2,read_user_timeline,audited,1200,1066,353/400,353/400,533/600,7,0,7,0.005833333333333334,1175,7,0,7,0,False,False,1
deathstarbench_social_network,split,NC,3,compose_post,audited,1200,1107,413/1200,181/200,369/400,21,0,21,0.0175,473,21,673,21,0,False,False,0
deathstarbench_social_network,split,NC,3,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,3,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,split,NC,4,compose_post,audited,1200,1112,233/300,1087/1200,139/150,25,0,25,0.020833333333333332,994,21,155,25,0,False,False,1
deathstarbench_social_network,split,NC,4,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,4,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,split,NC,5,compose_post,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,split,NC,5,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,5,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,split,NC,6,compose_post,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,split,NC,6,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,6,read_user_timeline,unsupported,1200,,,,,,,,,,,,,,,,
deathstarbench_social_network,split,NC,7,compose_post,audited,1200,1112,1111/1200,139/150,139/150,0,0,0,0.0,1188,0,1,0,0,True,False,0
deathstarbench_social_network,split,NC,7,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,7,read_user_timeline,audited,1200,1052,1049/1200,1049/1200,263/300,3,0,3,0.0025,1183,3,0,3,0,False,False,0
deathstarbench_social_network,split,NC,8,compose_post,audited,1200,1113,371/400,371/400,371/400,0,0,0,0.0,1190,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,8,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,8,read_user_timeline,audited,1200,1065,527/600,527/600,71/80,11,0,11,0.009166666666666667,1190,11,0,11,0,False,False,0
deathstarbench_social_network,split,NC,9,compose_post,audited,1200,1046,257/300,1031/1200,523/600,15,0,15,0.0125,1155,14,3,15,0,False,False,3
deathstarbench_social_network,split,NC,9,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
deathstarbench_social_network,split,NC,9,read_user_timeline,audited,1200,1034,511/600,511/600,517/600,12,0,12,0.01,1154,12,0,12,0,False,False,1
deathstarbench_social_network,split,NCD,0,compose_post,audited,1200,1046,64/75,64/75,523/600,22,0,22,0.018333333333333333,1155,22,0,22,0,False,False,1
deathstarbench_social_network,split,NCD,0,read_home_timeline,audited,1200,1200,1,1,1,0,0,0,0.0,1200,0,0,0,0,True,False,0
