profile,case_id,method,execution_status,cold_ratio_specialized_over_bdd_median,cold_ratio_min,cold_ratio_max,warm_ratio_specialized_over_bdd_median,warm_ratio_min,warm_ratio_max,specialized_cold_median_ms,bdd_cold_median_ms,specialized_warm_median_ms,bdd_warm_median_ms
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r5--list_owners,structural,singleton_given_empirical_observation_law,0.044756302869614996,0.042888103042511484,0.0472802360598091,1.249053584830965,1.2466045628010065,1.320152881060197,0.209302,4.676481,0.151444,0.120355
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r5--list_owners,sift_once,singleton_given_empirical_observation_law,0.03714093813244797,0.03587387956881844,0.03917844503928998,1.2211059328183709,1.1816882162913582,1.3015096781592248,0.209302,5.635345,0.151444,0.124022
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r5--list_vets,controls_first,singleton_given_empirical_observation_law,0.04636469106943747,0.045362062442270173,0.05202789070320979,1.2016220729137677,1.1641495660637522,1.243298604086587,0.214612,4.650155,0.147495,0.12329
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r5--list_vets,structural,singleton_given_empirical_observation_law,0.0456347072942551,0.040323419077781766,0.046222929814211874,1.2510513593165336,1.2473645330899925,1.2806164532233557,0.214612,4.655384,0.147495,0.115175
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r5--list_vets,sift_once,singleton_given_empirical_observation_law,0.037698295784476456,0.03392306235507058,0.037959599872295906,1.267269821631096,1.2302153956920863,1.298890388235193,0.214612,5.653695,0.147495,0.116388
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r5--owner_details_with_visits,controls_first,singleton_given_empirical_observation_law,0.3636507217856159,0.35808971832618525,0.3651402559448315,1.1689341632176538,1.16615177184106,1.1756675154406966,2.471392,6.882376,2.387963,2.042855
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r5--owner_details_with_visits,structural,singleton_given_empirical_observation_law,0.362077364436281,0.3540272278648075,0.3666811906416764,1.1570915189496358,1.153105851109189,1.1577974356425802,2.471392,6.825591,2.387963,2.062505
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r5--owner_details_with_visits,sift_once,singleton_given_empirical_observation_law,0.3124966997851014,0.3112495530759258,0.31722054652114573,1.1378334039328286,1.130732805168245,1.1778253018978666,2.471392,7.897213,2.387963,2.09278
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r6--create_visit,controls_first,singleton_given_empirical_observation_law,0.37297837802624195,0.3709706508523347,0.37885353902782193,1.2414756716017525,1.2406088824155863,1.2417649005753773,2.546462,6.766929,2.43353,1.961561
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r6--create_visit,structural,singleton_given_empirical_observation_law,0.37913119966554365,0.35965422554421483,0.37969665737200314,1.2258732381595252,1.2231214286037908,1.228260262022681,2.546462,6.751903,2.43353,1.986443
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r6--create_visit,sift_once,singleton_given_empirical_observation_law,0.3225897253670914,0.31826958711334713,0.3287212072829441,1.209574683295152,1.2052075205521513,1.252961243561933,2.546462,7.87916,2.43353,2.011889
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r6--list_owners,controls_first,singleton_given_empirical_observation_law,0.04344397961573051,0.04297588945293065,0.050017609197350106,1.2625761939848616,1.219111049593304,1.29530976135904,0.206126,4.691142,0.150792,0.119432
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r6--list_owners,structural,singleton_given_empirical_observation_law,0.04425842457305992,0.04273987518038298,0.049403158148561346,1.234300307772903,1.2104939875735312,1.2685650379984919,0.206126,4.717047,0.150792,0.122168
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r6--list_owners,sift_once,singleton_given_empirical_observation_law,0.03612956555865196,0.035613060771985505,0.0410686308371629,1.249778293481414,1.2462765828070148,1.2920456310512054,0.206126,5.692106,0.150792,0.120655
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r6--list_vets,controls_first,singleton_given_empirical_observation_law,0.04057175682096005,0.03873460743078801,0.06239679555068942,1.223475643550849,1.2051392151414884,1.2632226216481193,0.191969,4.731592,0.143488,0.117279
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r6--list_vets,structural,singleton_given_empirical_observation_law,0.04132853069924742,0.039452337369296174,0.04712269183985826,1.212598558281431,1.1931199740069856,1.2466837956712973,0.191969,4.659772,0.143488,0.118331
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r6--list_vets,sift_once,singleton_given_empirical_observation_law,0.03439731987273087,0.03279113333597767,0.038702719242291704,1.2397623337028825,1.2072830074378218,1.2636681951530064,0.191969,5.673529,0.143488,0.116237
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r6--owner_details_with_visits,controls_first,singleton_given_empirical_observation_law,0.3733300128439728,0.3686480926795725,0.3780525191533756,1.1730154749981159,1.1414817089420592,1.1758152973107052,2.551462,6.86302,2.474665,2.109661
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r6--owner_details_with_visits,structural,singleton_given_empirical_observation_law,0.3684663225574644,0.36591728551129915,0.3757494657922386,1.1600165287065578,1.1589335150879079,1.1677128745621663,2.551462,6.915306,2.474665,2.119241
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r6--owner_details_with_visits,sift_once,singleton_given_empirical_observation_law,0.3162984124642897,0.3132248919471584,0.32238569554829805,1.1106470448901076,1.0847202790548218,1.1617201983125314,2.551462,8.048068,2.474665,2.229088
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r7--create_visit,controls_first,singleton_given_empirical_observation_law,0.4004175462452451,0.3999067515516906,0.40534539931136965,1.2247326315638793,1.2068535138258327,1.2418895963310936,2.856482,7.14221,2.73788,2.248219
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r7--create_visit,structural,singleton_given_empirical_observation_law,0.39674959130298304,0.3932760518419519,0.4043594435781834,1.2003902980280703,1.179837935391346,1.2383604119048552,2.856482,7.19971,2.73788,2.271107
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r7--create_visit,sift_once,singleton_given_empirical_observation_law,0.35073298314248663,0.3453655504810686,0.35115621002832376,1.1881169213838307,1.1854924720226816,1.2626736572540962,2.856482,8.187829,2.73788,2.288729
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r7--list_owners,controls_first,singleton_given_empirical_observation_law,0.045595057268804334,0.04366425806356625,0.04775180897743377,1.2581201445114119,1.2528853177501826,1.322733772772273,0.210994,4.627563,0.154368,0.118181
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r7--list_owners,structural,singleton_given_empirical_observation_law,0.043836195890624124,0.043425906446109365,0.04827858337758924,1.2387337057728118,1.206430969192863,1.3045330088226346,0.210994,4.645331,0.154368,0.120946
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r7--list_owners,sift_once,singleton_given_empirical_observation_law,0.03688678564129675,0.034948100423691585,0.03928842525187459,1.320976561497189,1.1539550480046818,1.3321119055126163,0.210994,5.720043,0.154368,0.117349
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r7--list_vets,controls_first,singleton_given_empirical_observation_law,0.04370514126513979,0.039501356198975,0.05261355316019231,1.2135239294058817,1.1816603679554798,1.227610010091502,0.185667,4.700269,0.142266,0.117921
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r7--list_vets,structural,singleton_given_empirical_observation_law,0.03978553320606913,0.03944186113699848,0.043958107888006866,1.147750742222796,1.1363695080008396,1.1984915470335966,0.185667,4.690716,0.142266,0.123862
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r7--list_vets,sift_once,singleton_given_empirical_observation_law,0.03242585349990761,0.031765725099783974,0.03513244075686858,1.2204550133827465,1.205820368720444,1.2455023359460367,0.185667,5.788755,0.142266,0.116568
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r7--owner_details_with_visits,controls_first,singleton_given_empirical_observation_law,0.34578153808004763,0.34056593557655246,0.34807217059534884,1.1427932872330606,1.1374042944847327,1.1462903329504455,2.32595,6.768933,2.264312,1.97742
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r7--owner_details_with_visits,structural,singleton_given_empirical_observation_law,0.3419156798985259,0.33694521451456755,0.35367283189625953,1.1282433297416172,1.1245368877971385,1.1400554441726725,2.32595,6.742212,2.264312,1.993476
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r7--owner_details_with_visits,sift_once,singleton_given_empirical_observation_law,0.293271752506607,0.285681817196046,0.29370155575801093,1.1280375349598615,1.1145206120253457,1.148913838939193,2.32595,8.029205,2.264312,2.007302
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r8--create_visit,controls_first,singleton_given_empirical_observation_law,0.39842050917398225,0.38656436489033136,0.5125145199316017,1.2261425055308874,1.2016238310209402,1.241992092131968,2.844126,7.335552,2.762332,2.249639
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r8--create_visit,structural,singleton_given_empirical_observation_law,0.40462694024533763,0.40221850720051017,0.5545918442743614,1.2352353014828197,1.2324790120786946,1.2427828311100393,2.844126,7.037608,2.762332,2.238073
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r8--create_visit,sift_once,singleton_given_empirical_observation_law,0.346392684235684,0.34476256257787574,0.47717173964737214,1.204576841850046,1.1967888109072482,1.2458204966119928,2.844126,8.186267,2.762332,2.293197
spring_petclinic_microservices,spring_petclinic_microservices--colocated--NC--r8--list_owners,controls_first,singleton_given_empirical_observation_law,0.04443365491380533,0.0437368845791357,0.049163981078983426,1.24681456110858,1.1991146318732526,1.2884642487046631,0.208931,4.696365,0.155421,0.127298
