campaign_id,job_role,attempt_id,scope,rss_scope,maximum_rss_bytes,path,system_seconds,user_seconds,wall_seconds,profile,run_id,shared_once_across_this_application
v3-main-771601/deathstarbench_social_network/colocated/NC/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",219934720.0,build-resource-usage.txt,0.1,2.51,2.82,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/0,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",107806720.0,replay-resource-usage.txt,0.04,1.23,0.74,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/1,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",616677376.0,acquisition-resource-usage.txt,89.48,218.17,2071.59,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/1,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52379648.0,logs/compose-down.log.resource-usage.txt,0.03,0.1,11.06,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/1,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",52584448.0,logs/services.log.resource-usage.txt,0.05,0.12,0.14,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/1,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",51683328.0,pull-resource-usage.txt,0.06,0.14,21.35,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/1,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",54906880.0,start-resource-usage.txt,0.04,0.14,8.31,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/1,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",217395200.0,build-resource-usage.txt,0.14,2.49,2.08,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/1,graph,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",108834816.0,replay-resource-usage.txt,0.08,1.54,1.0,,,
v3-main-771601/deathstarbench_social_network/colocated/NC/2,acquisition,1,campaign_process,"per timed process/children GNU-time high-water report, not summed across concurrent processes",626872320.0,acquisition-resource-usage.txt,93.88,223.52,2072.08,,,
