profile,case_id,phase,method,paired_rounds,original_over_projected,kernel_original_over_projected
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structure,agrum_conditioned,3,1.0670100672318859,1.0814591649927474
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structure,agrum_joint,3,1.0683341918041103,1.088684871261015
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structure,storm_sparse,3,1.0026224937579151,1.1204600015488269
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,structure,storm_compact,3,0.9347726807893063,1.0407595353689048
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,restore,ours_direct,3,0.760647575555767,0.9717369541297642
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,restore,ours_prepared,3,1.0073057731046495,1.0999133290058685
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,restore,cudd_fixed,3,0.8154116453527762,1.0511668667466987
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,restore,cudd_sift,3,0.9577179585739024,1.1524250536623013
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,restore,agrum_conditioned,3,1.0717813137127459,1.0855189386775272
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,restore,agrum_joint,3,1.0763636238630048,1.0949464477068387
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,restore,storm_sparse,3,0.9107317974446071,1.0743622518393454
deathstarbench_social_network,deathstarbench_social_network--colocated--N--r0--read_user_timeline,restore,storm_compact,3,0.9398964799752377,1.1071435330505335
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,initial,ours_direct,3,1.0683753765686157,1.2511191322371695
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,initial,ours_prepared,3,1.0587184304492563,1.2492827046409634
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,initial,cudd_fixed,3,0.9752821552706726,1.1083929313462937
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,initial,cudd_sift,3,0.859494977381878,0.9469700526185458
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,initial,agrum_conditioned,3,1.429906579075244,1.4465289469413425
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,initial,agrum_joint,3,1.4112153930536744,1.4495677031012555
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,initial,storm_sparse,3,1.634391433936611,1.742466525325764
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,initial,storm_compact,3,1.3706091106453662,1.4829679373312574
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,repeat,ours_direct,3,1.1073305540498044,1.2726665077214618
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,repeat,ours_prepared,3,0.8328051781168421,1.0708270315422683
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,repeat,cudd_fixed,3,0.9090181793050476,1.133148635666345
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,repeat,cudd_sift,3,0.8908136292893578,1.1170657238848356
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,repeat,agrum_conditioned,3,1.2519233675566641,1.2683961312967111
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,repeat,agrum_joint,3,0.946188075665376,0.9947817877999903
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,repeat,storm_sparse,3,1.5442388480822842,1.7330233024844044
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,repeat,storm_compact,3,0.7382052714992381,1.0228710314215184
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,counts,ours_direct,3,1.102022709300799,1.2820056285438535
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,counts,ours_prepared,3,0.8153058887275582,1.0464718049574446
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,counts,cudd_fixed,3,0.9037261663968763,1.1400219049568263
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,counts,cudd_sift,3,0.8786137430571079,1.0897623395477793
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,counts,agrum_conditioned,3,1.2741546159465573,1.2928075204658391
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,counts,agrum_joint,3,0.9325828876390478,0.9833242048313497
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,counts,storm_sparse,3,1.5338003686791104,1.723556922809816
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,counts,storm_compact,3,0.7569371863318362,0.9739659209421045
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,masks,ours_direct,3,1.0318736333776501,1.165136413999571
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,masks,ours_prepared,3,0.8837528779739063,1.1760438326889855
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,masks,cudd_fixed,3,1.0395639151582678,1.3401041114016965
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,masks,cudd_sift,3,1.051567079284282,1.33751710938658
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,masks,agrum_conditioned,3,1.4879189080550776,1.5066961452346896
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,masks,agrum_joint,3,1.3118599871086791,1.3460151133142344
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,masks,storm_sparse,3,1.77758143882982,1.9133455259789642
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,masks,storm_compact,3,1.5512371486281997,1.70339787496149
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,metadata,ours_direct,3,1.0293494871986144,1.1655209477339823
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,metadata,ours_prepared,3,0.8878414768600754,1.16035900233905
deathstarbench_social_network,deathstarbench_social_network--colocated--NC--r0--compose_post,metadata,cudd_fixed,3,1.0243987598452786,1.3319125088721744
